ontology1,ontology2,metric,value,matcher,experiment
edas,ekaw,fmeasure,0.6315789473684211,AML,exp1
iasted,sigkdd,fmeasure,0.7878787878787877,AML,exp1
cmt,confOf,fmeasure,0.5833333333333334,AML,exp1
confOf,edas,fmeasure,0.6875,AML,exp1
ekaw,sigkdd,fmeasure,0.7368421052631579,AML,exp1
edas,sigkdd,fmeasure,0.0425531914893617,LogMap,exp1
confOf,edas,fmeasure,0.11764705882352942,LogMap,exp1
edas,iasted,fmeasure,0.06796116504854369,LogMap,exp1
cmt,ekaw,fmeasure,0.05660377358490566,LogMap,exp1
cmt,confOf,fmeasure,0.04739336492890994,LogMap,exp1
confOf,iasted,fmeasure,0.04419889502762431,LogMap,exp1
ekaw,iasted,fmeasure,0.06635071090047394,LogMap,exp1
confOf,sigkdd,fmeasure,0.05649717514124294,LogMap,exp1
confOf,ekaw,fmeasure,0.13793103448275862,LogMap,exp1
cmt,sigkdd,fmeasure,0.10377358490566037,LogMap,exp1
cmt,iasted,fmeasure,0.0392156862745098,LogMap,exp1
iasted,sigkdd,fmeasure,0.12962962962962965,LogMap,exp1
ekaw,sigkdd,fmeasure,0.0660377358490566,LogMap,exp1
cmt,edas,fmeasure,0.07655502392344496,LogMap,exp1
edas,ekaw,fmeasure,0.11059907834101383,LogMap,exp1
confOf,sigkdd,fmeasure,0.8333333333333333,RECOMENDADO,exp1
confOf,edas,fmeasure,0.6875,RECOMENDADO,exp1
ekaw,sigkdd,fmeasure,0.7777777777777778,RECOMENDADO,exp1
confOf,iasted,fmeasure,0.5,RECOMENDADO,exp1
edas,iasted,fmeasure,0.45714285714285713,RECOMENDADO,exp1
edas,ekaw,fmeasure,0.6315789473684211,RECOMENDADO,exp1
cmt,edas,fmeasure,0.8333333333333333,RECOMENDADO,exp1
cmt,ekaw,fmeasure,0.7058823529411764,RECOMENDADO,exp1
cmt,sigkdd,fmeasure,0.9565217391304348,RECOMENDADO,exp1
cmt,confOf,fmeasure,0.5833333333333334,RECOMENDADO,exp1
ekaw,iasted,fmeasure,0.6363636363636365,RECOMENDADO,exp1
cmt,iasted,fmeasure,0.888888888888889,RECOMENDADO,exp1
edas,sigkdd,fmeasure,0.7272727272727272,RECOMENDADO,exp1
confOf,ekaw,fmeasure,0.8108108108108107,RECOMENDADO,exp1
iasted,sigkdd,fmeasure,0.7878787878787877,RECOMENDADO,exp1
